,Unnamed: 0,end_sid,character_name,summary
0,0.0,282.02145440328417,Scrooge,"Scrooge is a cold, hard, and solitary man who is described as a 'squeezing, wrenching, grasping, scraping, clutching, covetous, old sinner'. He is resistant to the Christmas spirit and prefers to keep to himself, showing no interest in the well-being of others. He is a successful businessman, known for his ruthlessness and miserly nature. His physical appearance mirrors his cold personality, with a pointed nose, red eyes, thin blue lips, and a grating voice. He is also described as being as unaffected by the weather as he is by human emotion."
1,,563.0429088065683,Scrooge,"Scrooge is a solitary and cold-hearted man who is resistant to the Christmas spirit and shows no interest in others' well-being. He is a successful, ruthless businessman with a miserly nature. His physical appearance, including a pointed nose, red eyes, thin blue lips, and a grating voice, reflects his cold personality. Living in London, Scrooge is a practical man with little imagination, preferring routine and thriftiness, such as preferring darkness because it's cheap. Despite his practicality, he can experience fear, as shown by his reaction to Marley's apparition. He was business partners with Marley in life."
2,,871.0643632098524,Scrooge,"Scrooge is a solitary, cold-hearted, and miserly man living in London, who is resistant to the Christmas spirit and shows little concern for others. He is a successful businessman, known for his ruthlessness and practicality, preferring routine and thriftiness. His physical appearance, including a pointed nose, red eyes, thin blue lips, and a grating voice, mirrors his cold personality. Despite his hardened exterior, Scrooge is shown to struggle with his past, experiencing fear and regret, particularly in relation to his deceased business partner, Marley. He shows a softer side when confronted with memories of his lonely childhood, indicating a deep connection to his past and potential for change."
3,,1396.107272016421,Scrooge,"Scrooge is a solitary and miserly man living in London, known for his cold-heartedness and resistance to the Christmas spirit. He is a successful, ruthless businessman with a pointed nose, red eyes, thin blue lips, and a grating voice that reflects his cold personality. Despite his hardened exterior, he struggles with his past, showing fear, regret, and a softer side when confronted with memories of his lonely childhood. Initially unfeeling and stingy, Scrooge shows a capacity for change and remorse, deeply affected by the visions shown to him by the Spirit. He expresses concern for Tiny Tim's life, indicating a potential for transformation."
4,,1630.1287264197051,Scrooge,"Scrooge is a solitary, wealthy, and miserly man living in London, known for his cold-heartedness, unkindness, and resistance to the Christmas spirit. He is a successful, ruthless businessman with a pointed nose, red eyes, thin blue lips, and a grating voice. Despite his hardened exterior and harsh demeanor towards his employee, Bob Cratchit, Scrooge struggles with his past, showing fear, regret, and a softer side when confronted with memories of his lonely childhood. Initially unfeeling and stingy, Scrooge shows a capacity for change and remorse, deeply affected by the visions shown to him by the Spirit. His concern for Tiny Tim's life indicates a potential for transformation, and he is seen to soften and become more cheerful, especially when reminiscing about the past."
5,,1956.1501808229891,Scrooge,"Scrooge is a wealthy, solitary man living in London, known for his miserliness, cold-heartedness, and initial resistance to the Christmas spirit. He is a successful businessman, but his harsh demeanor and unkindness, especially towards his employee Bob Cratchit, make him an unloved figure. Despite his hardened exterior, Scrooge shows a softer side when confronted with his lonely past and the visions shown to him by the Spirit. He expresses fear, regret, and a desire to change, especially after seeing the indifference met with his death. His concern for Tiny Tim and his transformation into a more cheerful person indicate his capacity for change and remorse."
6,,2339.1716352262733,Scrooge,"Scrooge is a wealthy, solitary businessman in London, initially known for his miserliness and cold-heartedness. He is unkind to his employee, Bob Cratchit, and resistant to the Christmas spirit. However, when confronted with visions of his lonely past and potential future, he shows fear, regret, and a desire to change. He is particularly moved by the plight of Tiny Tim and the indifference met with his own death. Despite his initial cold and uncaring demeanor, Scrooge undergoes a transformation, becoming a joyful, generous man who values the well-being of others and the spirit of Christmas over his wealth."
7,,2630.1930896295576,Scrooge,"Scrooge is a wealthy businessman in London who initially is known for his miserliness, cold-heartedness, and unkindness, particularly towards his employee, Bob Cratchit. He resists the Christmas spirit and lives a solitary life. However, after confronting visions of his lonely past and potential future, he experiences fear, regret, and a desire to change. This leads to a significant transformation in Scrooge, turning him into a joyful, generous man who values others' well-being and the spirit of Christmas over his wealth. He becomes fond of Bob and shows concern for his well-being. Scrooge also becomes religious, attending church and expressing gratitude for his blessings. He learns to find joy in simple pleasures and is determined to maintain his newfound happiness."
8,8.0,1396.107272016421,Bob,"Bob Cratchit is a kind and loving family man who works for Scrooge. Despite his employer's harshness, he maintains a positive attitude and cherishes the joy of Christmas. He is particularly close to his son, Tiny Tim, whose health he is deeply concerned about. Bob is also respectful and avoids confrontation, even when his wife criticizes Scrooge."
9,,1630.1287264197051,Bob,"Bob Cratchit is a dedicated employee of the cold and ruthless businessman, Scrooge. Despite his low earnings and Scrooge's harsh demeanor, Bob maintains a positive and cheerful attitude. He is a loving family man, deeply caring for his wife and children, and holds hope for a better future, especially for his son, Peter. His character contrasts sharply with his employer, embodying warmth, love, and optimism in the face of hardship."
10,,2339.1716352262733,Bob,"Bob is a character who, despite his careworn and depressed demeanor, maintains a sense of serious delight. He is a loving and devoted father, especially to his son, Tiny Tim. His resilience is evident in his hopeful attitude and gratitude for others' kindness, even in the face of hardship. Bob is also forgiving, not holding a grudge against his former business partner, Scrooge, for his past behavior."
11,,2630.1930896295576,Bob,"Bob is an employee of Scrooge, a solitary and cold-hearted businessman in London. Despite being occasionally late to work, Bob is a respectful and remorseful individual, promising not to repeat his tardiness. He is somewhat timid, especially when interacting with Scrooge, but is also a diligent worker. Bob is a devoted family man, striving to support his family on his current salary. His respectful and hardworking nature contrasts with Scrooge's cold and ruthless demeanor."
12,9.0,1396.107272016421,Cratchit,"The Cratchit family, including Mrs. Cratchit and the Cratchit children, are characterized by their warmth, cheerfulness, and strong familial bond. Despite their financial struggles, they find happiness in their love for each other and their Christmas celebrations. Mrs. Cratchit, in particular, is noted for her resourcefulness and ability to provide a festive meal for her family on a limited budget."
13,,1630.1287264197051,Cratchit,"Cratchit, presumably Bob Cratchit, is a member of the Cratchit family. Despite their financial struggles and scanty clothing, they are a happy, grateful, and content family. They are very close-knit and supportive of each other, contrasting sharply with the cold and solitary Scrooge."
14,,2339.1716352262733,Cratchit,"Cratchit, likely the wife of Bob Cratchit, is a mild, patient, and kind-hearted woman. Despite her family's hardships, she remains thankful and even prays for forgiveness for feeling relief at the death of a man who caused them suffering, indicating her compassionate nature. She is also depicted as hardworking and dedicated, particularly in her role as a mother, as evidenced by her sewing work."
